FIlenames,Bug_id,S2Rs,Individual Step,Quality Labels,Interaction in Natural Language
,49,,,,open app
,49,,,,"type the ""price"" edit text"
,49,,,,type gallons
,49,,,,type odometer
,49,,,,Click save fillup
,49,,,,Click Fillup
android-mileage#3.0.8_49.xml,49,1.3: 1. Enter incorrect price per km in a fillup (I entered 102.9 rather than 1.029),Enter incorrect price per km in a fillup (I entered 102.9 rather than 1.029),"EM, MS","type the ""price"" edit text"
,49,,,,type gallons
,49,,,,type odometer
,49,,,,Click save fillup
,49,,,,Click tab on the top
android-mileage#3.0.8_49.xml,49,1.4: 2. switch to statistics view and see calculations,switch to statistics view and see calculations,"EM, MS",Click Statistics
android-mileage#3.0.8_49.xml,49,1.5: 3. Find the incorrect entry in history and fix the price.,Find the incorrect entry in history,EM,Click History
,49,,,,Tap on the bottom fillup button
,49,,fix the price,"EM, MS",Type 1.029
,49,,,,Click Save Changes
,49,,,,Click Statistics
,,,,,
,53,,,,open app
android-mileage#3.1.1_53.xml,53,"1.3: 1. enter few fillups, each mark as partial","enter few fillups, each mark as partial","AS, MS","type the ""price"" edit text"
,53,,,,type gallons
,53,,,,type odometer
,53,,,,Click Save Fillup
,53,,,,Click Fillup
,53,,,,"type the ""price"" edit text"
,53,,,,type gallons
,53,,,,type odometer
,53,,,,Click Save Fillup
android-mileage#3.1.1_53.xml,53,1.4: 2. go to stats,go to stats,"EM, MS",Click Statistics
,,,,,
,64,,,,open app
android-mileage#3.1.1_64.xml,64,1.3: 1. Entered all the fillup data and goto History Tab,Entered all the fillup data,"AS, MS","type the ""price"" edit text"
,64,,,,type gallons
,64,,,,type odometer
,64,,,,Click Save Fillup
,64,,,,Click Fillup
,64,,goto History Tab,"EM, MS","click the ""history"" text view"
android-mileage#3.1.1_64.xml,64,1.4: 2. Click on one of the Fillup history,Click on one of the Fillup history,EM,click one fillup history
,,,,,
android-mileage#3.1.1_65.xml,65,1.3: 1. Open Mileage Tracker,Open Mileage Tracker,EM,open app
,65,,,,"click the ""menu"" image view"
android-mileage#3.1.1_65.xml,65,"1.4: 2. Negotiate to the ""Service Intervals"" screen","Negotiate to the ""Service Intervals"" screen","EM, MS","click the ""service intervals"" text view"
android-mileage#3.1.1_65.xml,65,"1.5: 3. ""Add Service Interval""",Add Service Interval,EM,"click the ""add service interval"" button"
,65,,,,"click the ""oil change"""
android-mileage#3.1.1_65.xml,65,"3.4: To begin, I entered the information for my next oil change.",I entered the information for my next oil change.,AS,"enter a value in the ""odometer"" textview"
,65,,,,"click the ""add service interval"" button"
,65,,,,"click the ""menu"" button"
android-mileage#3.1.1_65.xml,65,3.6: Then I added a second service... my yearly State Inspection.,Then I added a second service... my yearly State Inspection.,"AS, MS","click the ""add service interval"" button"
android-mileage#3.1.1_65.xml,65,"3.7: But, when I entered the second one, it erased the first one.",,,"click the ""oil change"""
,65,,,,"enter a value in the ""odometer"" textview"
,65,,,,"click the ""add service interval"" button"
,,,,,
,10,0: Force Close if press Back in Preferences screen,,,open app
,10,,,,click Ok button
,10,,,,click menu
,10,,,,"click the ""more"" text view"
ATimeTracker#0.15_10.xml,10,"1.1: If I press the Back button while viewing the Preferences, the app will Force Quit.",viewing the Preferences,"EM, MS","click the ""preferences"" text view"
ATimeTracker#0.15_10.xml,10,,press the Back button,EM,"click the ""back"" image view"
,,,,,
ATimeTracker#0.17_25.xml,251,1.1: Open Time Tracker,Open Time Tracker,EM,open app
,251,,,,Click Ok
ATimeTracker#0.17_25.xml,251,1.2: Tap Menu,Tap Menu,"EM, MS",Click menu
ATimeTracker#0.17_25.xml,251,"1.3: Tap more option select any option that results in ""Success"" dialog",Tap more option,EM,"click the ""more"" text view"
,251,"1.4: For example: Select ""Export view to csv"" success dialog is shown with text ""Successfully exported csv to memory card as timetracker.db""","select any option that results in ""Success"" dialog. For example: Select ""Export view to csv"" success dialog is shown with text ""Successfully exported csv to memory card as timetracker.db""",EM,"Click ""Export view to csv"""
ATimeTracker#0.17_25.xml,251,1.5: Tap ok to close success dialog,Tap ok to close success dialog,EM,Click Ok
ATimeTracker#0.17_25.xml,251,1.6: Now change device orientation as landscape,Now change device orientation as landscape,,
,251,,,,Click menu
,251,,,,"click the ""more"" text view"
ATimeTracker#0.17_25.xml,251,"1.7: Now again Select ""Export view to csv""","Now again Select ""Export view to csv""","EM, MS","Click ""Export view to csv"""
,251,,,,Click Ok
,,,,,
,35,,,,open app
,35,,,,"click the ""ok"" button"
ATimeTracker#0.20_35.xml,35,,selecting the menu item,"EM, MS",click menu
,35,,,,"click the ""more"" text view"
ATimeTracker#0.20_35.xml,35,"1.1: when trying to restore a backup, the app crashes with ""Unfortunately, A Time Tracker has stopped."" this happens directly after selecting the menu item.",Trying to restore a backup,"EM, MS","click the ""restore from backup"" text view"
,,,,,
,46,,,,open app
ATimeTracker#0.20_46.xml,46,1.2: 1. Click on OK,Click on OK,"EM, MS","click the ""ok"" button"
ATimeTracker#0.20_46.xml,46,"1.3: 2. Click on ""..."" (More Options...)","1.3: 2. Click on ""..."" (More Options...)",EM,click on More Options
ATimeTracker#0.20_46.xml,46,1.4: 3. Click on Add Task,Click on Add Task,EM,"click the ""add task"" text view"
,46,,,,Click taskname
ATimeTracker#0.20_46.xml,46,"1.5: 4. Insert text ""testtask""","Insert text ""testtask""","EM, MS",Type testtask in task name
ATimeTracker#0.20_46.xml,46,1.6: 5. Click on Add Task,Click on Add Task,EM,"click the ""add task"" button"
ATimeTracker#0.20_46.xml,46,1.7: 6. Long Click on Element in List,Long Click on Element in List,EM,"long click the ""task"""
ATimeTracker#0.20_46.xml,46,1.8: 7. Click on Edit Task,Click on Edit Task,EM,"click the ""edit task"" text view"
