FIlenames,Bug_id,S2Rs,Individual Step,Quality Labels,Interaction in Natural Language
,,,,,"Type a valid input (e.g., 1) on the ""price (Price per Gallons)"" text field"
,,,,,"Type a valid input (e.g., 2) on the ""volume (Gallons)"" text field"
,,,,,"Type a valid input (e.g., 3) on the ""odometer (Odometer)"" text field"
,,,,,"Tap the ""partial (Tank was not filled to the top)"" check box"
,,,,,"Type a valid input (e.g., 4) on the ""Comment"" text field"
,,,,,"Tap the ""save btn (Save Fillup)"" button"
,,,,,"Tap the ""save btn (Save Fillup)"" button"
,,,,,"Long tap the ""list"" list view"
,,,,,"Tap the ""list"" list view"
,,,,,"Tap the ""8/8/2017"" view"
android-mileage#3.0.8_49.xml,49,1.3: 1. Enter incorrect price per km in a fillup (I entered 102.9 rather than 1.029),Enter incorrect price per km,"EM, MS","Type a valid input (e.g., 5) on the ""price (1.23456789E9)"" text field"
,,,,,"Type a valid input (e.g., 6) on the ""volume (1.23456789E9)"" text field"
,,,,,"Type a valid input (e.g., 7) on the ""odometer (9.223372036854776E16)"" text field"
,,,,,"Type a valid input (e.g., 8) on the ""'zfiwqrbluo z@#$%^&*()'"" text field"
,,,,,"Tap the ""save btn (Save changes)"" button"
,,,,,"Long tap the ""list"" list view"
,,,,,"Tap the ""list"" list view"
,,,,,"Tap the ""Fillup"" view"
android-mileage#3.0.8_49.xml,49,1.4: 2. switch to statistics view and see calculations,Switch statistics,"EM, MS","Tap the ""title (Statistics)"" text view"
android-mileage#3.0.8_49.xml,49,1.5: 3. Find the incorrect entry in history and fix the price.,Find incorrect entry in history,VM,"The term ""find"" does not match an action performed on the app."
android-mileage#3.0.8_49.xml,49,,Fix price,VM,"The term ""fix"" does not match an action performed on the app."
,,,,,
android-mileage#3.1.1_53.xml,53,"1.3: 1. enter few fillups, each mark as partial",Enter few fillups,AS,"This S2R matches multiple GUI components (e.g., the ""Fillup"" view or the ""title (Fillup)"" text view)."
,,,,,"Tap the ""price (Price per Gallons)"" text field"
,,,,,"Type a valid input (e.g., 1) on the ""price (Price per Gallons)"" text field"
,,,,,"Tap the ""volume (Gallons)"" text field"
,,,,,"Type a valid input (e.g., 2) on the ""volume (Gallons)"" text field"
,,,,,"Tap the ""odometer (Odometer)"" text field"
,,,,,"Type a valid input (e.g., 3) on the ""odometer (Odometer)"" text field"
,,,,,"Tap the ""partial (Tank was not filled to the top)"" check box"
,,,,,"Tap the ""Comment"" text field"
,,,,,"Type a valid input (e.g., 4) on the ""Comment"" text field"
,,,,,"Tap the ""save btn (Save Fillup)"" button"
android-mileage#3.1.1_53.xml,53,1.4: 2. go to stats,Go to stats,"EM, MS","Tap the ""title (Statistics)"" text view"
,,,,,
android-mileage#3.1.1_64.xml,64,1.3: 1. Entered all the fillup data and goto History Tab,Enter fillup data,AS,"This S2R matches multiple GUI components (e.g., the ""text 1 (Extra data)"" text view or the ""text 1 (Fillup information)"" text view)."
android-mileage#3.1.1_64.xml,64,1.4: 2. Click on one of the Fillup history,Click one of Fillup history,VM,"The term ""one of Fillup history"" does not match a GUI component from the app."
,,,,,
android-mileage#3.1.1_65.xml,65,1.3: 1. Open Mileage Tracker,Open Mileage Tracker,EM,Open the application
,,,,,"Tap the ""price (Price per Gallons)"" text field"
,,,,,"Type a valid input (e.g., 1) on the ""price (Price per Gallons)"" text field"
,,,,,"Tap the ""volume (Gallons)"" text field"
,,,,,"Type a valid input (e.g., 2) on the ""volume (Gallons)"" text field"
,,,,,"Tap the ""odometer (Odometer)"" text field"
,,,,,"Type a valid input (e.g., 3) on the ""odometer (Odometer)"" text field"
,,,,,"Tap the ""partial (Tank was not filled to the top)"" check box"
,,,,,"Tap the ""Comment"" text field"
,,,,,"Type a valid input (e.g., 4) on the ""Comment"" text field"
,,,,,"Tap the ""save btn (Save Fillup)"" button"
,,,,,Press the menu button
android-mileage#3.1.1_65.xml,65,"1.4: 2. Negotiate to the ""Service Intervals"" screen","Negotiate ""Service Intervals"" screen","EM, MS","Tap the ""title (Service intervals)"" text view"
,,,,,Press the menu button
android-mileage#3.1.1_65.xml,65,"1.5: 3. ""Add Service Interval""",Add Service Interval,"EM, MS","Tap the ""title (Service intervals)"" text view"
android-mileage#3.1.1_65.xml,65,Then I added a second service... my yearly State Inspection.,Enter second one,VM,"The term ""second one"" does not match a GUI component from the app."
,,,,,
ATimeTracker#0.15_10.xml,10,"1.1: If I press the Back button while viewing the Preferences, the app will Force Quit.",Press Back button,EM,Tap the back button
,,,,,"Tap the ""title (A Time Tracker (Today) 00:00)"" text view"
,,,,,"Long tap the ""list"" list view"
,,,,,"Tap the ""list"" list view"
,,,,,Press the menu button
,,,,,"Tap the ""title (More…)"" text view"
,10,,View Preferences,"EM, MS","Tap the ""text 1 (Preferences)"" text view"
,,,,,
ATimeTracker#0.17_25.xml,251,1.1: Open Time Tracker,Open Time Tracker,EM,Open the application
,,,,,"Long tap the ""usage ( Detailed instructions are at https://github.co...)"" text view"
,,,,,"Tap the ""usage ( Detailed instructions are at https://github.co...)"" text view"
,,,,,"Tap the ""button 1 (OK)"" button"
ATimeTracker#0.17_25.xml,251,1.2: Tap Menu,Tap Menu,"EM, MS",Press the menu button
ATimeTracker#0.17_25.xml,251,"1.3: Tap more option select any option that results in ""Success"" dialog",Tap more option,EM,"Tap the ""title (More…)"" text view"
ATimeTracker#0.17_25.xml,251,"1.4: For example: Select ""Export view to csv"" success dialog is shown with text ""Successfully exported csv to memory card as timetracker.db""","Select ""Export view to csv""",EM,"Tap the ""text 1 (Export view to CSV)"" text view"
ATimeTracker#0.17_25.xml,251,1.5: Tap ok to close success dialog,Tap ok to close,EM,"Tap the ""button 1 (OK)"" button"
ATimeTracker#0.17_25.xml,251,1.6: Now change device orientation as landscape,Change device orientation as landscape,EM,Rotate the screen
,,,,,Tap the back button
,,,,,"Tap the ""title (A Time Tracker (Today) 00:00)"" text view"
,,,,,Press the menu button
,,,,,"Tap the ""title (More…)"" text view"
ATimeTracker#0.17_25.xml,251,"1.7: Now again Select ""Export view to csv""","Select ""Export view to csv""","EM, MS","Tap the ""text 1 (Export view to CSV)"" text view"
,,,,,
,,,,,"Tap the ""A Time Tracker"" text view"
,,,,,"Tap the ""version (Version 0.20)"" text view"
,,,,,"Tap the ""Open Source Time Tracker"" text view"
,,,,,Tap the scroll view
,,,,,"Tap the ""usage ( Detailed instructions are at https://github.co...)"" text view"
,,,,,"Long tap the ""usage ( Detailed instructions are at https://github.co...)"" text view"
,,,,,"Long tap the ""credits (Credits Based on TimeTracker+ by Sean E. Rus...)"" text view"
,,,,,"Tap the ""credits (Credits Based on TimeTracker+ by Sean E. Rus...)"" text view"
,,,,,"Tap the ""button 1 (OK)"" button"
,,,,,"Tap the ""list"" list view"
,,,,,"Long tap the ""list"" list view"
,,,,,"Tap the ""More options"" image button"
,,,,,"Tap the ""More…"" view"
ATimeTracker#0.20_35.xml,35,"1.1: when trying to restore a backup, the app crashes with ""Unfortunately, A Time Tracker has stopped."" this happens directly after selecting the menu item.",Restore backup,"EM, MS","Tap the ""text 1 (Back up to SD card)"" text view"
ATimeTracker#0.20_35.xml,35,,Select menu item,EM,Press the menu button
,,,,,
,,,,,"Tap the ""usage ( Detailed instructions are at https://github.co...)"" text view"
,,,,,"Long tap the ""usage ( Detailed instructions are at https://github.co...)"" text view"
,,,,,"Long tap the ""credits (Credits Based on TimeTracker+ by Sean E. Rus...)"" text view"
,,,,,"Tap the ""credits (Credits Based on TimeTracker+ by Sean E. Rus...)"" text view"
ATimeTracker#0.20_46.xml,46,1.2: 1. Click on OK,Click on OK,"EM, MS","Tap the ""button 1 (OK)"" button"
ATimeTracker#0.20_46.xml,46,"1.3: 2. Click on ""..."" (More Options...)","Click on ""..."" (More Options...)",EM,"Tap the ""More options"" image button"
ATimeTracker#0.20_46.xml,46,1.4: 3. Click on Add Task,"Click on ""Add Task""",EM,"Tap the ""title (Add task)"" text view"
ATimeTracker#0.20_46.xml,46,"1.5: 4. Insert text ""testtask""","Insert text ""testtask""",EM,"Type a valid input (e.g., testtask) on the ""task edit name edit"" text field"
,,,,,"Tap the ""task edit name edit"" text field"
,,,,,"Type a valid input (e.g., 1) on the ""task edit name edit"" text field"
ATimeTracker#0.20_46.xml,46,1.6: 5. Click on Add Task,"Click on ""Add Task""","EM, MS","Tap the ""button 1 (Add task)"" button"
ATimeTracker#0.20_46.xml,46,1.7: 6. Long Click on Element in List,Long click on Element,VM,"The term ""on Element"" does not match a GUI component from the app."
,,,,,"Tap the ""action bar overlay layout"" view"
,,,,,"Tap the ""action bar"" view"
,,,,,"Tap the ""home"" image view"
,,,,,"Tap the ""action bar title (A Time Tracker (Today) 00:00)"" text view"
,,,,,Press the menu button
ATimeTracker#0.20_46.xml,46,1.8: 7. Click on Edit Task,Click on Edit Task,"EM, MS","Tap the ""title (Add task)"" text view"
ATimeTracker#0.20_46.xml,46,1.9: 8. Orientation Change,,,
,,,,,
droidweight#1.3.3_12.xml,12,1.1: ``` select Menu > Preferences > Units > Imperial,Select Menu,EM,Press the menu button
droidweight#1.3.3_12.xml,12,,Click Preferences,EM,"Tap the ""title (Preferences)"" text view"
droidweight#1.3.3_12.xml,12,,Click Units,EM,"Tap the ""title (Units)"" text view"
droidweight#1.3.3_12.xml,12,,Click Imperial,EM,"Tap the ""text 1 (Imperial (pd, in))"" checked text view"
,,,,,
,,,,,"Tap the ""minusminus"" image button"
,,,,,"Tap the ""minus"" image button"
,,,,,"Tap the ""plus"" image button"
,,,,,"Tap the ""plusplus"" image button"
,,,,,"Tap the ""Statistics"" view"
,,,,,"Tap the ""title (Statistics)"" text view"
,,,,,"Tap the ""label (obese)"" text view"
,,,,,"Tap the ""range overweight"" table row"
,,,,,"Tap the ""label (overweight)"" text view"
,,,,,"Tap the ""unit"" text view"
,,,,,"Tap the ""label (normal)"" text view"
,,,,,"Tap the ""unit"" text view"
,,,,,Press the menu button
droidweight#1.5.4_25.xml,252,1.3: 1. Export of data,Export of data,"EM, MS","Tap the ""title (Export Data)"" text view"
droidweight#1.5.4_25.xml,252,1.4: 2. open in Excel,Open in Excel,VM,"The term ""in Excel"" does not match a GUI component from the app."
,,,,,
,,,,,"Tap the ""btn save (Next)"" button"
,,,,,"Tap the ""list"" list view"
,,,,,"Tap the ""text 1 (USD)"" checked text view"
,,,,,"Tap the ""btn save (Next)"" button"
,,,,,"Tap the ""list"" list view"
,,,,,"Tap the ""text 1 (Create default accounts)"" checked text view"
,,,,,"Tap the ""btn save (Next)"" button"
,,,,,"Tap the ""list"" list view"
,,,,,"Tap the ""text 1 (Automatically send crash reports)"" checked text view"
,,,,,"Tap the ""btn save (Next)"" button"
,,,,,"Tap the ""list"" list view"
,,,,,"Tap the ""btn save (Next)"" button"
gnucash-android#2.0.4_471.xml,471,1.1: In the account there is a small + to add a new record.,Press +,"EM, MS","Tap the ""fab create account"" image view"
gnucash-android#2.0.4_471.xml,471,"1.2: After press this one time, doesn't mater if you safe the record or cancel it, this symbol is gone.",Safe record,VM,"The term ""safe"" does not match an action performed on the app."
