Prompting-Strategy,Type,Version,Template
Zero-shot,No Definition,1.0.0,"In this task, I will provide a bug report for <system-name>, where each sentence is labeled using a number. You will identify the sentences that describe the Observed Behavior of the app (OB), the Expected Behavior of the app (EB), and the Steps to Reproduce the bug (S2Rs) of the bug report.

Bug Report: 
<bug-report>

Response format:
Please list the numbers of the sentences that describe OB, EB, or S2R, using the following format:
OB: list the numbers of the sentences that describe the Observed Behavior of the app, separated by commas
EB: list the numbers of the sentences that describe the Expected Behavior of the app, separated by commas
S2Rs: list the numbers of the sentences that describe the Steps to Reproduce the bug, separated by commas
Do not provide anything else in the response."
Zero-shot,No Definition,1.0.1,"In this task, I will provide a bug report for <system-name>, where each sentence is labeled using a number. You will identify the sentences that describe the Observed Behavior of the app (OB) of the bug report.

Bug Report: 
<bug-report>

Response format:
Please list the numbers of the sentences that describe OB using the following format:
OB: list the numbers of the sentences that describe the Observed Behavior of the app, separated by commas
Do not provide anything else in the response."
Zero-shot,No Definition,1.0.2,"In this task, I will provide a bug report for <system-name>, where each sentence is labeled using a number. You will identify the sentences that describe the Expected Behavior of the app (EB) of the bug report.

Bug Report: 
<bug-report>

Response format:
Please list the numbers of the sentences that describe EB using the following format:
EB: list the numbers of the sentences that describe the Expected Behavior of the app, separated by commas
Do not provide anything else in the response."
Zero-shot,No Definition,1.0.3,"In this task, I will provide a bug report for <system-name>, where each sentence is labeled using a number. You will identify the sentences that describe the Steps to Reproduce the bug (S2Rs) of the bug report.

Bug Report: 
<bug-report>

Response format:
Please list the numbers of the sentences that describe S2Rs using the following format:
S2Rs: list the numbers of the sentences that describe the Steps to Reproduce the bug, separated by commas
Do not provide anything else in the response."
Zero-shot,One Line Definition,1.1.0,"In this task, I will provide a bug report for <system-name>, where each sentence is labeled using a number. You will identify the sentences that describe the:

Observed Behavior (OB): All sentences describing an incorrect or unexpected behavior of the app’s misbehavior.
Expected Behavior (EB): All sentences describing expected or correct app behavior. 
Steps to Reproduce (S2Rs): All sentences that describe the actions made on the app to replicate or reproduce the incorrect or unexpected app behavior.

Bug Report: 
<bug-report>

Response format:
Please list the numbers of the sentences that describe OB, EB, or S2R, using the following format:
OB: list the numbers of the sentences that describe the Observed Behavior of the app, separated by commas
EB: list the numbers of the sentences that describe the Expected Behavior of the app, separated by commas
S2Rs: list the numbers of the sentences that describe the Steps to Reproduce the bug, separated by commas
Do not provide anything else in the response."
Zero-shot,One Line Definition,1.1.1,"In this task, I will provide a bug report for <system-name>, where each sentence is labeled using a number. You will identify the sentences that describe the:

Observed Behavior (OB): All sentences describing an incorrect or unexpected behavior of the app’s misbehavior.

Bug Report: 
<bug-report>

Response format:
Please list the numbers of the sentences that describe OB using the following format:
OB: list the numbers of the sentences that describe the Observed Behavior of the app, separated by commas
Do not provide anything else in the response."
Zero-shot,One Line Definition,1.1.2,"In this task, I will provide a bug report for <system-name>, where each sentence is labeled using a number. You will identify the sentences that describe the:

Expected Behavior (EB): All sentences describing expected or correct app behavior.

Bug Report: 
<bug-report>

Response format:
Please list the numbers of the sentences that describe EB using the following format:
EB: list the numbers of the sentences that describe the Expected Behavior of the app, separated by commas
Do not provide anything else in the response."
Zero-shot,One Line Definition,1.1.3,"In this task, I will provide a bug report for <system-name>, where each sentence is labeled using a number. You will identify the sentences that describe the:

Steps to Reproduce (S2Rs): All sentences that describe the actions made on the app to replicate or reproduce the incorrect or unexpected app behavior.

Bug Report: 
<bug-report>

Response format:
Please list the numbers of the sentences that describe S2Rs using the following format:
S2Rs: list the numbers of the sentences that describe the Steps to Reproduce the bug, separated by commas
Do not provide anything else in the response."
Zero-shot,"One Line Definition, Detailed Definition, No Examples",1.2.0,"In this task, I will provide a bug report for <system-name>, where each sentence is labeled using a number. You will identify the sentences that describe the:

Observed Behavior (OB): All sentences describing an incorrect or unexpected behavior of the app’s misbehavior.
Expected Behavior (EB): All sentences describing expected or correct app behavior. 
Steps to Reproduce (S2Rs): All sentences that describe the actions made on the app to replicate or reproduce the incorrect or unexpected app behavior. 

Consider the following factors for identifying OB, EB, and S2Rs.

Observed Behavior of the app (OB): 
        1        An OB sentence describes an incorrect or unexpected behavior of the app.
        2        There could be multiple OB sentences anywhere in the bug report, including the first sentence of the bug report, marked with (0).
        3        If a sentence describes only the cause for the bug but not the observed, unexpected/incorrect app behavior, the sentence is not an OB sentence.
        4        Likewise, if a sentence contains only app or device version information or app execution trace information, the sentence is not an OB sentence.
        5        A sentence can describe more information besides the OB; in such cases, the whole sentence is an OB sentence.
        6        A sentence is not OB if it describes particular conditions that are necessary to reproduce the bug.
        7        A sentence is not OB if it describes the motivation or importance of the bug. 
        8        A sentence is not OB if it describes the rationale why the reporter considers the problem as a bug.
        9        An OB sentence can be also an EB sentence if it describes both observed behavior and expected behavior. Typically these sentences contain phrases like “rather than”, “instead of”, etc.
        10        Both OB and S2Rs can exist in a sentence. In these cases, the sentence should be considered as both OB and S2Rs.
        11        The semantically opposite sentence of an explicit EB can be considered an OB. Explicit EB refers to labeled EB sentences under the headers like “Expected Behavior”/“Desired Behavior”/“Expected Results”/“Expected Output”/etc.
        12        A sentence is OB if it describes the observed behavior even if it is a part of the sequential actions (sentences). 

Expected Behavior of the app (EB): 
        1        An EB sentence describes expected or correct app behavior. The EB is usually the opposite of the OB. 
        2        There could be multiple EB sentences anywhere in the bug report, including the first sentence of the bug report, marked with (0). 
        3        A sentence can describe more information besides the EB; in such cases, the whole sentence is an EB sentence.
        4        An EB sentence can be also an OB sentence if it describes both observed behavior and expected behavior. Typically these sentences contain phrases like “rather than”, “instead of”, etc.

Steps to Reproduce the Bug (S2Rs): 
        1        An S2R sentence describes the actions made on the app to replicate the incorrect or unexpected app behavior. Actions represent interactions that app users make on regions or GUI components of the app screen. Common actions made on Android apps are Click, Type, Swipe, Pinch, and Long-click. These actions may be described with synonym words.
        2        S2R sentences also describe actions that are high-level and can be worded via verbs such as start, open, add, go back, select, insert, refresh, etc.
        3        A sentence can describe more information besides the S2Rs; in such cases, the whole sentence is considered to be an S2R sentence.
        4        Both OB and S2Rs can exist in a sentence. In these cases, the sentence should be considered as both OB and S2Rs.
        5        A sentence that is not an action should not be considered an S2R, even if it is a part of the sequential actions (sentences).

Bug Report: 
<bug-report>
Response format:
Please list the numbers of the sentences that describe OB, EB, or S2R, using the following format:
OB: list the numbers of the sentences that describe the Observed Behavior of the app, separated by commas
EB: list the numbers of the sentences that describe the Expected Behavior of the app, separated by commas
S2Rs: list the numbers of the sentences that describe the Steps to Reproduce the bug, separated by commas
Do not provide anything else in the response."
Zero-shot,"One Line Definition, Detailed Definition, No Examples",1.2.1,"In this task, I will provide a bug report for <system-name>, where each sentence is labeled using a number. You will identify the sentences that describe Observed Behavior (OB): All sentences describing an incorrect or unexpected behavior of the app’s misbehavior.

Note that here,
Expected Behavior (EB): All sentences describing expected or correct app behavior. 
Steps to Reproduce (S2Rs): All sentences that describe the actions made on the app to replicate or reproduce the incorrect or unexpected app behavior. 

Consider the following factors for identifying OB.

Observed Behavior of the app (OB): 
        1        An OB sentence describes an incorrect or unexpected behavior of the app.
        2        There could be multiple OB sentences anywhere in the bug report, including the first sentence of the bug report, marked with (0).
        3        If a sentence describes only the cause for the bug but not the observed, unexpected/incorrect app behavior, the sentence is not an OB sentence.
        4        Likewise, if a sentence contains only app or device version information or app execution trace information, the sentence is not an OB sentence.
        5        A sentence can describe more information besides the OB; in such cases, the whole sentence is an OB sentence.
        6        A sentence is not OB if it describes particular conditions that are necessary to reproduce the bug.
        7        A sentence is not OB if it describes the motivation or importance of the bug. 
        8        A sentence is not OB if it describes the rationale why the reporter considers the problem as a bug.
        9        An OB sentence can be also an EB sentence if it describes both observed behavior and expected behavior. Typically these sentences contain phrases like “rather than”, “instead of”, etc.
        10        Both OB and S2Rs can exist in a sentence. In these cases, the sentence should be considered as both OB and S2Rs.
        11        The semantically opposite sentence of an explicit EB can be considered an OB. Explicit EB refers to labeled EB sentences under the headers like “Expected Behavior”/“Desired Behavior”/“Expected Results”/“Expected Output”/etc.
        12        A sentence is OB if it describes the observed behavior even if it is a part of the sequential actions (sentences).

Bug Report: 
<bug-report>
Response format:
Please list the numbers of the sentences that describe OB using the following format:
OB: list the numbers of the sentences that describe the Observed Behavior of the app, separated by commas
Do not provide anything else in the response."
